mã ngành,mã mục,nội dung
I,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Mạng máy tính và Truyền thông dữ liệu (tên tiếng Anh: Computer Networks and Data Communications), có mã số 7480102. Chương trình được thiết kế với thời gian đào tạo là 4,5 năm và sau khi hoàn thành, sinh viên sẽ được cấp danh hiệu Kỹ sư. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Kỹ sư ngành Mạng máy tính và Truyền thông dữ liệu"" và tương ứng bằng tiếng Anh là ""The Degree of Engineer in Computer Networks and Data Communications""."
I,2,"2. Mục tiêu của chương trình đào tạo
Chương trình đào tạo kỹ sư ngành Mạng máy tính và Truyền thông dữ liệu (MMT&TTDL) của Trường Đại học Công nghệ, ĐHQGHN đặt mục tiêu chung là cung cấp nguồn nhân lực trình độ cao và chất lượng cao, có năng lực làm việc và nghiên cứu hiệu quả trong các tập đoàn lớn về Công nghệ thông tin và Truyền thông tại Việt Nam cũng như trong khu vực, nhằm đáp ứng nhu cầu xã hội về nhân lực chuyên sâu trong lĩnh vực này. Cụ thể, chương trình tập trung trang bị cho sinh viên các kiến thức chuyên môn và kỹ năng nghề nghiệp một cách có hệ thống và hiện đại về mạng máy tính và truyền thông dữ liệu; đồng thời đào tạo sinh viên có phẩm chất chính trị, đạo đức nghề nghiệp vững vàng, sở hữu các kỹ năng bổ trợ cần thiết để làm việc trong môi trường cạnh tranh, cùng khả năng tự học và tự cập nhật công nghệ mới, qua đó đảm bảo sinh viên có thể đảm nhận nhiều vị trí công việc khác nhau tại các đơn vị và doanh nghiệp phát triển, ứng dụng Công nghệ Thông tin hàng đầu."
I,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Kỹ sư Mạng máy tính và Truyền thông dữ liệu được thực hiện nghiêm ngặt theo Quy chế và các Quy định về tuyển sinh đại học hàng năm do Bộ Giáo dục và Đào tạo ban hành, đồng thời tuân thủ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố hàng năm."
I,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp, kỹ sư ngành Mạng máy tính và Truyền thông dữ liệu phải đạt được các yêu cầu năng lực toàn diện. Về kiến thức, sinh viên cần làm chủ kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng kiến thức toán, khoa học cơ bản và Công nghệ Thông tin vào giải quyết vấn đề kỹ thuật; giải thích kiến thức nền tảng về máy tính bao gồm hệ thống máy tính, giải thuật, lập trình, cơ sở dữ liệu, phân tích thiết kế phần mềm và mạng máy tính; áp dụng kiến thức cơ sở Mạng máy tính và Truyền thông dữ liệu để giải thích nguyên lý hoạt động của mạng Internet và các hệ thống viễn thông; đồng thời áp dụng kiến thức chuyên ngành tiên tiến theo một trong ba định hướng (Quản trị và an ninh mạng, Phát triển ứng dụng Internet và Điện toán đám mây, hoặc Truyền thông dữ liệu) để đánh giá và lựa chọn các giải pháp công nghệ phù hợp. Về kỹ năng, sinh viên phải có khả năng phát hiện, mô tả vấn đề và đề xuất giải pháp về Mạng máy tính và Truyền thông dữ liệu; triển khai hiệu quả các giải pháp Công nghệ Thông tin, phân tích dữ liệu và kết quả, đánh giá kỹ thuật để rút ra kết luận xác đáng; có kỹ năng lập kế hoạch, điều phối, tổ chức, dẫn dắt và đánh giá công việc nhóm cũng như quản lý dự án Công nghệ Thông tin hiệu quả; tư duy logic, biện chứng để giải quyết vấn đề thực tế một cách hiệu quả và sáng tạo; thành thạo một số ngôn ngữ và công cụ lập trình hiện đại; có khả năng phân tích, đánh giá và cập nhật các kiến thức, công nghệ mới trong lĩnh vực Công nghệ Thông tin, Mạng máy tính và Truyền thông dữ liệu để nâng cao khả năng học tập suốt đời; có năng lực thiết kế, thực thi và bảo trì một giải pháp hoàn chỉnh cho các hệ thống mạng, dịch vụ và ứng dụng trên nền tảng Internet và điện toán đám mây; và vận dụng được kiến thức về tiếng Anh tương đương trình độ 3/6 theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam. Về mức độ tự chủ và chịu trách nhiệm, sinh viên cần chủ động tuân thủ pháp luật, đạo đức nghề nghiệp; thể hiện tính trung thực, chịu trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, sẵn sàng hỗ trợ đồng nghiệp và có ý thức đóng góp vào việc tạo ra những sản phẩm có giá trị phục vụ cộng đồng cũng như phát triển lĩnh vực chuyên môn."
I,5,"5. Vị trí việc làm mà học viên có thể đảm nhiệm sau khi tốt nghiệp
Kỹ sư tốt nghiệp ngành Mạng máy tính và Truyền thông dữ liệu có khả năng đảm nhận nhiều vị trí công việc đa dạng và quan trọng trong lĩnh vực công nghệ thông tin và truyền thông. Các vị trí tiêu biểu bao gồm kỹ sư chuyên thiết kế và triển khai các hệ thống mạng Internet, mạng viễn thông và các dịch vụ mạng liên quan; kỹ sư quản trị các hệ thống mạng và dịch vụ mạng cho các doanh nghiệp, tổ chức nhà nước, cũng như các nhà cung cấp dịch vụ Internet và viễn thông. Sinh viên cũng có thể trở thành chuyên viên phát triển phần mềm và các dịch vụ ứng dụng trên nền tảng mạng Internet và truyền thông, kỹ sư phần mềm, chuyên viên nghiên cứu và phát triển các giải pháp mới về Công nghệ thông tin và truyền thông, chuyên viên chuyên sâu về an ninh hoặc an toàn cho các hệ thống mạng và truyền thông, chuyên viên tư vấn các dịch vụ và giải pháp Công nghệ thông tin và truyền thông, cũng như có thể tham gia vào công tác giảng dạy và nghiên cứu với vai trò giảng viên hoặc nghiên cứu viên về Công nghệ thông tin và Điện tử viễn thông tại các cơ sở giáo dục và viện nghiên cứu, cùng nhiều vị trí khác liên quan."
I,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi hoàn thành chương trình và nhận bằng Kỹ sư Mạng máy tính và Truyền thông dữ liệu, các tân kỹ sư có nền tảng vững chắc và nhiều cơ hội rộng mở để tiếp tục con đường học tập, nghiên cứu và nâng cao trình độ chuyên môn. Họ hoàn toàn có thể theo học các chương trình đào tạo sau đại học, bao gồm các chương trình Thạc sĩ và Tiến sĩ, tại các trường đại học uy tín và danh tiếng cả ở trong nước lẫn các quốc gia có nền khoa học công nghệ phát triển trên thế giới. Bên cạnh đó, các kỹ sư cũng có thể lựa chọn con đường không ngừng nghiên cứu thực tiễn, tích lũy kinh nghiệm làm việc và trau dồi các kỹ năng chuyên sâu thông qua việc trực tiếp tham gia giải quyết các bài toán và thách thức công nghệ thực tế tại các doanh nghiệp, tập đoàn và tổ chức trong xã hội, qua đó từng bước trở thành những chuyên gia hàng đầu, có đóng góp quan trọng vào sự phát triển không ngừng của ngành Mạng máy tính và Truyền thông dữ liệu trong tương lai."
I,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Kỹ sư Mạng máy tính và Truyền thông dữ liệu có tổng cộng 150 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ một cách khoa học thành các khối kiến thức chính: Khối kiến thức chung chiếm 26 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, ngoại ngữ và tin học cơ bản; tiếp đó là Khối kiến thức chung theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình đầu tiên. Sau đó, Khối kiến thức chung cho khối ngành gồm 10 tín chỉ, bao gồm các môn học cơ sở ngành trực tiếp và quan trọng. Khối kiến thức chung cho nhóm ngành với 30 tín chỉ sẽ trang bị các kiến thức cốt lõi đặc thù của ngành Công nghệ Thông tin và Truyền thông. Phần kiến thức chuyên sâu và chiếm tỷ trọng lớn nhất là Khối kiến thức ngành, với tổng cộng 65 tín chỉ, được thiết kế để sinh viên có thể đi sâu vào các lĩnh vực chuyên môn cụ thể; trong đó, khối này được chia nhỏ thành 24 tín chỉ dành cho các học phần bắt buộc của ngành, bao gồm những nội dung cốt lõi và nền tảng của ngành Mạng và Truyền thông; 21 tín chỉ dành cho các học phần tự chọn, cho phép sinh viên linh hoạt lựa chọn để phát triển chuyên môn sâu theo các định hướng nghề nghiệp đã được xác định; 05 tín chỉ được dành cho các học phần bổ trợ nhằm giúp sinh viên mở rộng kiến thức sang các lĩnh vực liên ngành hoặc rèn luyện thêm các kỹ năng cần thiết khác; và cuối cùng, 15 tín chỉ được dành cho khối kiến thức thực tập doanh nghiệp và hoàn thành đồ án tốt nghiệp, đánh dấu mốc quan trọng hoàn thành chương trình đào tạo."
II,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Công nghệ Thông tin (tên tiếng Anh: Information Technology), mang mã số 7480201. Chương trình đào tạo được thiết kế kéo dài 4 năm và sinh viên tốt nghiệp sẽ được cấp danh hiệu Cử nhân. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Cử nhân ngành Công nghệ Thông tin"" và bằng tiếng Anh là ""The Degree of Bachelor in Information Technology""."
II,2,"2. Mục tiêu của chương trình đào tạo
Chương trình Công nghệ thông tin (CNTT) tại Trường Đại học Công nghệ, ĐHQGHN đặt mục tiêu chung là đào tạo nguồn nhân lực cử nhân có trình độ chuyên môn cao về CNTT, có năng lực phát triển, triển khai và vận hành các hệ thống phần mềm và các giải pháp CNTT, đồng thời có khả năng làm việc hiệu quả trong các doanh nghiệp lớn ở Việt Nam cũng như tại các nước trong khu vực, qua đó đáp ứng nhu cầu của xã hội về nhân lực chất lượng cao trong lĩnh vực Công nghệ thông tin. Cụ thể, chương trình sẽ trang bị cho sinh viên các kiến thức và kỹ năng cần thiết để đáp ứng nhu cầu phát triển và ứng dụng CNTT của xã hội trong bối cảnh toàn cầu hóa. Sinh viên sẽ được đào tạo theo một số định hướng chuyên sâu trong lĩnh vực CNTT, bao gồm Công nghệ phần mềm (tập trung vào phương pháp, công cụ và quy trình phát triển, quản lý, bảo trì phần mềm), Hệ thống thông tin (trang bị kiến thức về phát triển và vận hành hệ thống thông tin quản lý), Mạng và truyền thông máy tính (tập trung vào công nghệ phát triển và vận hành hệ thống mạng), và Khoa học máy tính (tập trung vào các vấn đề chuyên sâu như học máy, xử lý ảnh, xử lý ngôn ngữ tự nhiên). Ngoài ra, chương trình cũng chú trọng đào tạo những kỹ năng bổ trợ thiết yếu, khả năng tự học và tự thích nghi, năng lực làm việc độc lập và trong môi trường công nghiệp trong cũng như ngoài nước, nhằm giúp sinh viên đạt chuẩn chất lượng của các đại học tiên tiến trong khu vực, thông qua việc cung cấp một môi trường quản lý, giảng dạy và học tập hiện đại, hiệu quả cùng đội ngũ giảng viên giỏi và phương pháp dạy – học tiên tiến."
II,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Cử nhân Công nghệ Thông tin được thực hiện theo đúng Quy chế và các Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo, đồng thời tuân thủ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố hàng năm."
